"xchg_code","curr_pair_1","curr_pair_2","curr_pair","xchg_curr_pair","min_qty","max_qty","qty_precision","curr_precision"
"BitVavo","1INCH","EUR","1INCHEUR","1INCH-EUR",2.0,999999999.0,2,5
"Coinbase","1INCH","EUR","1INCHEUR","1INCH-EUR",0.22,88000.0,2,3
"Kraken","1INCH","EUR","1INCHEUR","1INCH/EUR",5.0,999999999.0,8,3
"Talos_All","1INCH","EUR","1INCHEUR","1INCH-EUR",5.0,88000.0,2,3
"Talos_Exchanges","1INCH","EUR","1INCHEUR","1INCH-EUR",5.0,88000.0,2,3
"Talos_Kraken","1INCH","EUR","1INCHEUR","1INCH-EUR",5.0,999999999.0,8,3
"Trever","1INCH","EUR","1INCHEUR","1INCH/EUR",0.1,900000.0,1,3
"Bitstamp","AAVE","EUR","AAVEEUR","AAVE/EUR",1.01807423,999999999.0,8,2
"BitVavo","AAVE","EUR","AAVEEUR","AAVE-EUR",0.008,999999999.0,2,5
"Coinbase","AAVE","EUR","AAVEEUR","AAVE-EUR",0.003,2400.0,3,2
"Kraken","AAVE","EUR","AAVEEUR","AAVE/EUR",0.02,999999999.0,8,2
"Talos_All","AAVE","EUR","AAVEEUR","AAVE-EUR",1.01807423,2400.0,3,2
"Talos_Exchanges","AAVE","EUR","AAVEEUR","AAVE-EUR",1.01807423,2400.0,3,2
"Talos_Kraken","AAVE","EUR","AAVEEUR","AAVE-EUR",0.02,999999999.0,8,2
"Trever","AAVE","EUR","AAVEEUR","AAVE/EUR",0.001,900000.0,3,1
"ManualPricing","ACA","ADA","ACAADA","ACA-ADA",1.0,10.0,3,3
"Binance","ADA","BRL","ADABRL","adabrl",0.1,9222449.0,1,3
"Talos_All","ADA","BRL","ADABRL","ADA-BRL",0.1,9222449.0,1,3
"Talos_Binance","ADA","BRL","ADABRL","ADA-BRL",0.1,9222449.0,1,3
"Talos_Exchanges","ADA","BRL","ADABRL","ADA-BRL",0.1,9222449.0,1,3
"B2C2","ADA","CAD","ADACAD","ADACAD.SPOT",1.0,4000000.0,4,5
"Talos_All","ADA","CAD","ADACAD","ADA-CAD",1.0,4000000.0,4,5
"Talos_OTC","ADA","CAD","ADACAD","ADA-CAD",1.0,4000000.0,4,5
"B2C2","ADA","EUR","ADAEUR","ADAEUR.SPOT",1.0,4000000.0,4,5
"Binance","ADA","EUR","ADAEUR","adaeur",0.1,900000.0,1,4
"Bitstamp","ADA","EUR","ADAEUR","ADA/EUR",196.01720332,999999999.0,8,5
"BitVavo","ADA","EUR","ADAEUR","ADA-EUR",3.0,999999999.0,2,5
"Coinbase","ADA","EUR","ADAEUR","ADA-EUR",0.48,880000.0,2,4
"Kraken","ADA","EUR","ADAEUR","ADA/EUR",2.5,999999999.0,8,6
"Talos_All","ADA","EUR","ADAEUR","ADA-EUR",196.01720332,880000.0,1,4
"Talos_Binance","ADA","EUR","ADAEUR","ADA-EUR",0.1,900000.0,1,4
"Talos_Exchanges","ADA","EUR","ADAEUR","ADA-EUR",196.01720332,880000.0,1,4
"Talos_Kraken","ADA","EUR","ADAEUR","ADA-EUR",2.5,999999999.0,8,6
"Talos_OTC","ADA","EUR","ADAEUR","ADA-EUR",1.0,4000000.0,4,5
"B2C2","AKT","EUR","AKTEUR","akteur.spottest",1.0,100.0,3,4
"Bitstamp","ALGO","EUR","ALGOEUR","ALGO/EUR",286.76059367,999999999.0,8,5
"BitVavo","ALGO","EUR","ALGOEUR","ALGO-EUR",4.0,999999999.0,2,5
"Coinbase","ALGO","EUR","ALGOEUR","ALGO-EUR",1.0,610000.0,0,4
"Kraken","ALGO","EUR","ALGOEUR","ALGO/EUR",2.5,999999999.0,8,5
"Talos_All","ALGO","EUR","ALGOEUR","ALGO-EUR",286.76059367,610000.0,0,4
"Talos_Exchanges","ALGO","EUR","ALGOEUR","ALGO-EUR",286.76059367,610000.0,0,4
"Talos_Kraken","ALGO","EUR","ALGOEUR","ALGO-EUR",2.5,999999999.0,8,5
"BitVavo","ALICE","EUR","ALICEEUR","ALICE-EUR",0.6,999999999.0,2,5
"Kraken","ALICE","EUR","ALICEEUR","ALICE/EUR",1.0,999999999.0,8,3
"Talos_All","ALICE","EUR","ALICEEUR","ALICE-EUR",1.0,999999999.0,8,3
"Talos_Exchanges","ALICE","EUR","ALICEEUR","ALICE-EUR",1.0,999999999.0,8,3
"Talos_Kraken","ALICE","EUR","ALICEEUR","ALICE-EUR",1.0,999999999.0,8,3
"Bitstamp","ALPHA","EUR","ALPHAEUR","ALPHA/EUR",723.76363354,999999999.0,8,5
"BitVavo","ALPHA","EUR","ALPHAEUR","ALPHA-EUR",7.0,999999999.0,2,5
"Talos_All","ALPHA","EUR","ALPHAEUR","ALPHA-EUR",723.76363354,999999999.0,8,5
"Talos_Exchanges","ALPHA","EUR","ALPHAEUR","ALPHA-EUR",723.76363354,999999999.0,8,5
"Bitstamp","AMP","EUR","AMPEUR","AMP/EUR",9503.45132387,999999999.0,8,5
"BitVavo","AMP","EUR","AMPEUR","AMP-EUR",80.0,999999999.0,2,5
"Talos_All","AMP","EUR","AMPEUR","AMP-EUR",9503.45132387,999999999.0,8,5
"Talos_Exchanges","AMP","EUR","AMPEUR","AMP-EUR",9503.45132387,999999999.0,8,5
"Trever","AMP","EUR","AMPEUR","AMP/EUR",1.0,92141578.0,0,5
"BitVavo","ANKR","EUR","ANKREUR","ANKR-EUR",60.0,999999999.0,2,5
"Coinbase","ANKR","EUR","ANKREUR","ANKR-EUR",7.0,4200000.0,0,5
"Kraken","ANKR","EUR","ANKREUR","ANKR/EUR",50.0,999999999.0,8,5
"Talos_All","ANKR","EUR","ANKREUR","ANKR-EUR",50.0,4200000.0,0,5
"Talos_Exchanges","ANKR","EUR","ANKREUR","ANKR-EUR",50.0,4200000.0,0,5
"Talos_Kraken","ANKR","EUR","ANKREUR","ANKR-EUR",50.0,999999999.0,8,5
"BitVavo","ANT","EUR","ANTEUR","ANT-EUR",0.5,999999999.0,2,5
"Kraken","ANT","EUR","ANTEUR","ANT/EUR",1.0,999999999.0,8,4
"Talos_All","ANT","EUR","ANTEUR","ANT-EUR",1.0,999999999.0,8,4
"Talos_Exchanges","ANT","EUR","ANTEUR","ANT-EUR",1.0,999999999.0,8,4
"Talos_Kraken","ANT","EUR","ANTEUR","ANT-EUR",1.0,999999999.0,8,4
"Trever","ANT","EUR","ANTEUR","ANT/EUR",0.1,900000.0,1,3
"Enigma","APE","APE","APEAPE","APEAPE.spot",1.0,4.0,2,1
"Binance","APE","BRL","APEBRL","apebrl",0.01,922327.0,2,2
"Talos_All","APE","BRL","APEBRL","APE-BRL",0.01,922327.0,2,2
"Talos_Binance","APE","BRL","APEBRL","APE-BRL",0.01,922327.0,2,2
"Talos_Exchanges","APE","BRL","APEBRL","APE-BRL",0.01,922327.0,2,2
"Binance","APE","EUR","APEEUR","apeeur",0.01,92141578.0,2,4
"BitVavo","APE","EUR","APEEUR","APE-EUR",0.3,999999999.0,2,5
"Kraken","APE","EUR","APEEUR","APE/EUR",0.5,999999999.0,8,4
"Talos_All","APE","EUR","APEEUR","APE-EUR",0.5,92141578.0,2,4
"Talos_Binance","APE","EUR","APEEUR","APE-EUR",0.01,92141578.0,2,4
"Talos_Exchanges","APE","EUR","APEEUR","APE-EUR",0.5,92141578.0,2,4
"Talos_Kraken","APE","EUR","APEEUR","APE-EUR",0.5,999999999.0,8,4
"Binance","ATOM","BRL","ATOMBRL","atombrl",0.001,922327.0,3,1
"Talos_All","ATOM","BRL","ATOMBRL","ATOM-BRL",0.001,922327.0,3,1
"Talos_Binance","ATOM","BRL","ATOMBRL","ATOM-BRL",0.001,922327.0,3,1
"Talos_Exchanges","ATOM","BRL","ATOMBRL","ATOM-BRL",0.001,922327.0,3,1
"Binance","ATOM","EUR","ATOMEUR","atomeur",0.01,90000.0,2,2
"Coinbase","ATOM","EUR","ATOMEUR","ATOM-EUR",0.029,11000.0,3,2
"Kraken","ATOM","EUR","ATOMEUR","ATOM/EUR",0.15,999999999.0,8,4
"Talos_All","ATOM","EUR","ATOMEUR","ATOM-EUR",0.15,11000.0,2,2
"Talos_Binance","ATOM","EUR","ATOMEUR","ATOM-EUR",0.01,90000.0,2,2
"Talos_Exchanges","ATOM","EUR","ATOMEUR","ATOM-EUR",0.15,11000.0,2,2
"Talos_Kraken","ATOM","EUR","ATOMEUR","ATOM-EUR",0.15,999999999.0,8,4
"Trever","ATOM","EUR","ATOMEUR","ATOM/EUR",0.01,90000.0,2,2
"Bitstamp","AUDIO","EUR","AUDIOEUR","AUDIO/EUR",278.0498598,999999999.0,8,5
"BitVavo","AUDIO","EUR","AUDIOEUR","AUDIO-EUR",4.0,999999999.0,2,5
"Kraken","AUDIO","EUR","AUDIOEUR","AUDIO/EUR",5.0,999999999.0,8,4
"Talos_All","AUDIO","EUR","AUDIOEUR","AUDIO-EUR",278.0498598,999999999.0,8,4
"Talos_Exchanges","AUDIO","EUR","AUDIOEUR","AUDIO-EUR",278.0498598,999999999.0,8,4
"Talos_Kraken","AUDIO","EUR","AUDIOEUR","AUDIO-EUR",5.0,999999999.0,8,4
"Enigma","AVAX","AAVE","AVAXAAVE","AVAXAAVE.spot",1.0,4.0,4,2
"Binance","AVAX","BRL","AVAXBRL","avaxbrl",0.01,922327.0,2,1
"Talos_All","AVAX","BRL","AVAXBRL","AVAX-BRL",0.01,922327.0,2,1
"Talos_Binance","AVAX","BRL","AVAXBRL","AVAX-BRL",0.01,922327.0,2,1
"Talos_Exchanges","AVAX","BRL","AVAXBRL","AVAX-BRL",0.01,922327.0,2,1
"B2C2","AVAX","CAD","AVAXCAD","AVXCAD.SPOT",0.1,4000.0,4,5
"Talos_All","AVAX","CAD","AVAXCAD","AVAX-CAD",0.1,4000.0,4,5
"Talos_OTC","AVAX","CAD","AVAXCAD","AVAX-CAD",0.1,4000.0,4,5
"B2C2","AVAX","EUR","AVAXEUR","AVXEUR.SPOT",0.1,4000.0,4,5
"Binance","AVAX","EUR","AVAXEUR","avaxeur",0.01,90000.0,2,2
"Bitstamp","AVAX","EUR","AVAXEUR","AVAX/EUR",4.69539476,999999999.0,8,5
"BitVavo","AVAX","EUR","AVAXEUR","AVAX-EUR",0.3,999999999.0,2,5
"Coinbase","AVAX","EUR","AVAXEUR","AVAX-EUR",0.01,9700.0,3,2
"Kraken","AVAX","EUR","AVAXEUR","AVAX/EUR",0.1,999999999.0,8,2
"Talos_All","AVAX","EUR","AVAXEUR","AVAX-EUR",4.69539476,4000.0,2,2
"Talos_Binance","AVAX","EUR","AVAXEUR","AVAX-EUR",0.01,90000.0,2,2
"Talos_Exchanges","AVAX","EUR","AVAXEUR","AVAX-EUR",4.69539476,9700.0,2,2
"Talos_Kraken","AVAX","EUR","AVAXEUR","AVAX-EUR",0.1,999999999.0,8,2
"Talos_OTC","AVAX","EUR","AVAXEUR","AVAX-EUR",0.1,4000.0,4,5
"Binance","AXS","BRL","AXSBRL","axsbrl",0.01,922327.0,2,1
"Talos_All","AXS","BRL","AXSBRL","AXS-BRL",0.01,922327.0,2,1
"Talos_Binance","AXS","BRL","AXSBRL","AXS-BRL",0.01,922327.0,2,1
"Talos_Exchanges","AXS","BRL","AXSBRL","AXS-BRL",0.01,922327.0,2,1
"Bitstamp","AXS","EUR","AXSEUR","AXS/EUR",5.46510966,999999999.0,8,5
"BitVavo","AXS","EUR","AXSEUR","AXS-EUR",0.1,999999999.0,2,5
"Coinbase","AXS","EUR","AXSEUR","AXS-EUR",0.006,5400.0,3,2
"Kraken","AXS","EUR","AXSEUR","AXS/EUR",0.25,999999999.0,8,3
"Talos_All","AXS","EUR","AXSEUR","AXS-EUR",5.46510966,5400.0,3,2
"Talos_Exchanges","AXS","EUR","AXSEUR","AXS-EUR",5.46510966,5400.0,3,2
"Talos_Kraken","AXS","EUR","AXSEUR","AXS-EUR",0.25,999999999.0,8,3
"Trever","AXS","EUR","AXSEUR","AXS/EUR",0.01,900000.0,2,2
"BitVavo","BAL","EUR","BALEUR","BAL-EUR",0.08,999999999.0,2,5
"Kraken","BAL","EUR","BALEUR","BAL/EUR",0.15,999999999.0,8,2
"Talos_All","BAL","EUR","BALEUR","BAL-EUR",0.15,999999999.0,8,2
"Talos_Exchanges","BAL","EUR","BALEUR","BAL-EUR",0.15,999999999.0,8,2
"Talos_Kraken","BAL","EUR","BALEUR","BAL-EUR",0.15,999999999.0,8,2
"Trever","BAL","EUR","BALEUR","BAL/EUR",0.01,90000.0,2,2
"BitVavo","BAND","EUR","BANDEUR","BAND-EUR",0.2,999999999.0,2,5
"Coinbase","BAND","EUR","BANDEUR","BAND-EUR",0.11,38000.0,2,2
"Kraken","BAND","EUR","BANDEUR","BAND/EUR",1.0,999999999.0,8,3
"Talos_All","BAND","EUR","BANDEUR","BAND-EUR",1.0,38000.0,2,2
"Talos_Exchanges","BAND","EUR","BANDEUR","BAND-EUR",1.0,38000.0,2,2
"Talos_Kraken","BAND","EUR","BANDEUR","BAND-EUR",1.0,999999999.0,8,3
"Bitstamp","BAT","EUR","BATEUR","BAT/EUR",287.65176379,999999999.0,8,5
"BitVavo","BAT","EUR","BATEUR","BAT-EUR",3.0,999999999.0,2,5
"Coinbase","BAT","EUR","BATEUR","BAT-EUR",0.9,340000.0,2,3
